ID,Title,Budget,Revenue,Total Time,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
634649,Spider-Man: No Way Home,2.0464486790025176,5.490040430994336,2h 28min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73723,The Lorax,0.04138420709308731,0.303715199149273,1h 26min,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
505642,Black Panther: Wakanda Forever,2.8176273220446064,1.9860879986050044,2h 42min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
436270,Black Adam,2.0464486790025176,0.4501443269395508,2h 4min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
537915,After,-0.8223358731140519,-0.6172994133433308,1h 46min,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
675445,PAW Patrol: The Movie,-0.6372529987839507,-0.37057981995930095,1h 26min,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
534313,Racetime,-0.9919951745833114,-0.8068734108468233,1h 30min,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
324857,Spider-Man: Into the Spider-Verse,0.34985566430992276,0.39149761455822235,1h 57min,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8920,Garfield,-0.2670872501237481,-0.1843702394152281,1h 20min,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
646389,Plane,-0.6526765716447924,-0.6782873903128449,1h 47min,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
299536,Avengers: Infinity War,3.5888059650866952,5.9205330020427205,2h 29min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
346364,It,-0.42132297873216584,1.4674506138797987,2h 15min,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
804150,Cocaine Bear,-0.5369997751884792,-0.5529322023483386,1h 36min,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
536554,M3GAN,-0.8531830188357354,-0.26341312789640337,1h 42min,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
744275,After We Fell,-0.8223358731140519,-0.775551175075726,1h 39min,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
884605,No Hard Feelings,-0.344205114427957,-0.5727956630505003,1h 43min,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1018494,Operation Seawolf,-1.038034539572924,-0.846362507460553,1h 26min,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
842675,The Wandering Earth II,0.1000219628319028,1.1462523686462285,2h 53min,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
414906,The Batman,1.8150950860898911,1.6954289563277962,2h 57min,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
985939,Fall,-0.9919951745833114,-0.7932885846231466,1h 47min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
361743,Top Gun: Maverick,1.5837414931772644,4.062029072340504,2h 11min,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
675353,Sonic the Hedgehog 2,0.6583271215267582,0.481152466627413,2h 3min,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
616037,Thor: Love and Thunder,2.8176273220446064,1.6624004763823816,1h 59min,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
767,Harry Potter and the Half-Blood Prince,2.8176273220446064,2.232897467023233,2h 33min,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
672,Harry Potter and the Chamber of Secrets,0.5040913929183405,2.0440714840748835,2h 41min,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
671,Harry Potter and the Philosopher's Stone,0.8896807144393848,2.3730771757383065,2h 32min,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1.7379772217856821,1.6099276008728032,2h 23min,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
507086,Jurassic World Dominion,1.5066236288730557,2.4571609923087783,2h 27min,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
674,Harry Potter and the Goblet of Fire,1.275270035960429,2.10748270416629,2h 37min,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
700391,65,-0.344205114427957,-0.6650990805144882,1h 32min,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
508947,Turning Red,1.8922129503940999,-0.7841897751656908,1h 40min,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
493529,Dungeons & Dragons: Honor Among Thieves,1.2906936088212708,-0.1600625622947514,2h 14min,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19995,Avatar,2.6171208748536636,7.5873720249012955,2h 42min,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
785084,The Whale,-0.9919951745833114,-0.6647650700834575,1h 56min,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
980078,Winnie the Pooh: Blood and Honey,-1.0367235358797526,-0.8292935375040298,1h 24min,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
453395,Doctor Strange in the Multiverse of Madness,2.0464486790025176,2.293121188034087,2h 6min,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
668482,Roald Dahl's Matilda the Musical,-0.6526765716447924,-0.8026646947795001,1h 57min,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12445,Harry Potter and the Deathly Hallows: Part 2,0.8896807144393848,3.5766280482939092,2h 10min,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
673,Harry Potter and the Prisoner of Azkaban,0.9667985787435937,1.7576084443343527,2h 21min,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
675,Harry Potter and the Order of the Phoenix,1.275270035960429,2.246921721135236,2h 18min,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
